Order ID,Order Date,Delivery Date,Cancel Date,Customer ID,Product ID,Region,Sale Price/Unit,Quantity,Total Amount,Payment Method,Delivery Status,Fulfillment Partner
ORD0001,12/31/2023,,1/2/2024,CUST021,PROD012,North,44,1,44,Apple Pay,Cancelled,DHL
ORD0002,2/22/2023,2/24/2023,,CUST029,PROD018,East,96,4,384,Credit Card,Delivered,DHL
ORD0003,10/11/2023,,,CUST021,PROD013,South,194,4,776,Credit Card,In Transit,USPS
ORD0004,5/5/2023,,5/11/2023,CUST044,PROD013,North,196,3,588,PayPal,Cancelled,UPS
ORD0005,2/2/2023,2/5/2023,,CUST027,PROD010,North,59,1,59,PayPal,Delivered,Amazon Logistics
ORD0006,11/1/2023,,11/2/2023,CUST009,PROD010,North,58,4,232,Amazon Pay,Cancelled,DHL
ORD0007,8/14/2023,,8/18/2023,CUST042,PROD020,Central,105,3,315,Debit Card,Cancelled,DHL
ORD0008,4/1/2023,,4/6/2023,CUST019,PROD021,West,37,5,185,PayPal,Cancelled,DHL
ORD0009,7/21/2023,,,CUST013,PROD019,Central,44,2,88,Credit Card,In Transit,Amazon Logistics
ORD0010,12/29/2023,,,CUST019,PROD003,South,141,4,564,Debit Card,In Transit,DHL
ORD0011,5/4/2023,,5/8/2023,CUST046,PROD014,South,249,1,249,Amazon Pay,Cancelled,USPS
ORD0012,7/25/2023,,,CUST045,PROD014,Central,247,3,741,Amazon Pay,In Transit,FedEx
ORD0013,2/25/2023,,2/28/2023,CUST023,PROD006,Central,96,1,96,Apple Pay,Cancelled,Amazon Logistics
ORD0014,2/24/2023,,2/25/2023,CUST033,PROD017,West,74,5,370,Apple Pay,Cancelled,Amazon Logistics
ORD0015,8/26/2023,,9/2/2023,CUST033,PROD005,South,27,1,27,Credit Card,Cancelled,Amazon Logistics
ORD0016,2/13/2023,,,CUST047,PROD005,South,27,3,81,Debit Card,In Transit,Amazon Logistics
ORD0017,6/28/2023,7/1/2023,,CUST045,PROD015,East,21,3,63,Credit Card,Delivered,DHL
ORD0018,11/28/2023,,,CUST011,PROD008,West,70,5,350,PayPal,In Transit,Amazon Logistics
ORD0019,8/25/2023,,,CUST041,PROD006,South,94,4,376,Credit Card,In Transit,USPS
ORD0020,4/12/2023,,,CUST025,PROD001,North,813,2,1626,Credit Card,In Transit,FedEx
ORD0021,10/2/2023,,,CUST013,PROD015,Central,21,4,84,PayPal,In Transit,Amazon Logistics
ORD0022,11/9/2023,,,CUST023,PROD012,West,46,5,230,PayPal,In Transit,USPS
ORD0023,2/13/2023,,2/14/2023,CUST016,PROD010,West,58,3,174,Amazon Pay,Cancelled,Amazon Logistics
ORD0024,11/2/2023,11/5/2023,,CUST028,PROD006,West,96,5,480,Amazon Pay,Delivered,Amazon Logistics
ORD0025,5/28/2023,5/30/2023,,CUST040,PROD002,South,43,1,43,Debit Card,Delivered,Amazon Logistics
ORD0026,10/15/2023,10/21/2023,,CUST027,PROD022,South,64,4,256,Debit Card,Delivered,USPS
ORD0027,1/16/2023,,,CUST018,PROD008,South,70,2,140,Amazon Pay,In Transit,Amazon Logistics
ORD0028,10/9/2023,,,CUST018,PROD018,Central,97,3,291,Credit Card,In Transit,Amazon Logistics
ORD0029,10/7/2023,,10/10/2023,CUST007,PROD021,East,37,3,111,Apple Pay,Cancelled,DHL
ORD0030,2/14/2023,,,CUST008,PROD008,North,69,5,345,Amazon Pay,In Transit,Amazon Logistics
ORD0031,3/26/2023,,,CUST014,PROD002,North,42,5,210,Amazon Pay,In Transit,UPS
